tag_h,tag_p,tag_formatting,tag_table,word_count,children_ratio,id_relevance_extent,tag_main,tag_article,x,y,height,width,element_area_ratio,label
0,0,0,NO,48,0.034146341,0,NO,NO,0,10,130,1266.400024,0.022571011,1
12,45,45,NO,3193,0.000932292,0,NO,NO,166,140,5594.600098,934,0.716395228,2
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,80,1266.400024,0.114416474,1
0,0,0,NO,1,1,0,NO,NO,176,0,80,1090.400024,0.098515259,1
4,16,292,YES,3060,0.000493318,2,NO,NO,176,79,3370.366699,1090.400024,4.150406841,2
13,0,73,NO,142,0.007963595,0,NO,NO,0,3449,0,1266.400024,0,3
0,0,15,NO,68,0.019911504,1,NO,NO,176,3449,144.1499939,1090.400024,0.177512174,4
0,0,0,NO,115,0.000744048,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,18,0.001336898,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,0.009259259,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,-1000,18.3999939,0,0,0
0,0,0,NO,1,2,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,0.025,0,NO,NO,0,0,0,0,0,0
0,0,39,NO,79,0.003642987,0,NO,NO,0,0,60,1266.400024,0.003048117,1
0,0,5,NO,7,0.018518519,0,NO,NO,0,80,22.19999695,1266.400024,0.001127803,1
0,0,0,NO,5,0.04,0,NO,NO,0,102,60,1266.400024,0.003048117,1
36,71,176,YES,3692,4.39E-05,0,NO,NO,0,169,18590.88281,1266.400024,0.944453126,2
11,0,120,NO,151,0.000942507,0,NO,YES,0,18759,418.5999756,1266.400024,0.021265696,4
1,0,0,NO,27,0.002873563,0,NO,NO,0,19178,169.8000031,1266.400024,0.008626172,4
1,1,0,NO,28,0.006666667,0,NO,NO,0,855,144.3166656,1266.400024,0.007331568,4
0,0,0,NO,1,2,0,NO,NO,0,0,0,0,0,0
1,1,17,NO,116,0.00140056,0,NO,NO,0,0,0,0,0,0
5,0,35,NO,101,0.003484321,0,NO,NO,0,19348,336.4000244,1266.400024,0.017089778,4
0,0,1,NO,1,3,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,2,0.047619048,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,2,0.020408163,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,0.002824859,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,13,0.003021148,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,3,0.005050505,0,NO,NO,0,0,0,0,0,0
0,0,0,NO,1,1,0,NO,NO,0,0,0,0,0,0
