tag_header,tag_para,tag_formatting,word_count,interacting_span_tag,relative_x_coord,relative_y_coord,relative_listings,relative_hyperlinks,tag_img,src_img_interaction,red_flag_class,tag_table,tag_sup,tag_sup_child,red_flag_id,relative_table_elements,height_width_diff,label
NO,NO,NO,0,NO,0.184336019,0.00315121,10,10,NO,NO,NO,NO,NO,NO,NO,100,17.6000061,0
NO,NO,NO,0,NO,0.184336019,0.003707306,10,10,NO,NO,NO,NO,NO,NO,NO,100,-1041.599976,0
NO,NO,NO,0,NO,1.100513548,0.003707306,10,10,NO,NO,NO,NO,NO,NO,NO,100,-14.8833313,0
NO,NO,NO,0,NO,1.100513548,0.003892671,10,10,NO,NO,NO,NO,NO,NO,NO,100,3.400009155,0
NO,NO,NO,0,NO,1.100513548,0.004040963,10,10,NO,NO,NO,NO,NO,NO,NO,100,-3,0
NO,NO,NO,0,NO,1.100513548,0.00400389,10,10,YES,YES,NO,NO,NO,NO,NO,100,1,0
NO,NO,NO,0,NO,1.12068963,0.003892671,10,10,NO,NO,NO,NO,NO,NO,NO,100,2.400009155,0
NO,NO,NO,0,NO,1.12068963,0.004040963,10,10,NO,NO,NO,NO,NO,NO,NO,100,-4,0
NO,NO,NO,0,NO,1.12068963,0.00400389,10,10,YES,YES,NO,NO,NO,NO,NO,100,0,0
YES,NO,NO,3,NO,0.184336019,0.003707306,0,0,NO,NO,NO,NO,NO,NO,NO,0,-1003.366638,1
NO,NO,YES,3,NO,0.184336019,0.003781452,0,0,NO,NO,NO,NO,NO,NO,NO,0,-188.0833282,1
NO,NO,NO,25480,NO,0.184336019,0.005375593,0.050117739,0.107456829,NO,NO,NO,NO,NO,NO,NO,0.023194662,25841.13245,1
NO,NO,NO,5,NO,0.184336019,0.005375593,0,0,NO,NO,NO,NO,NO,NO,NO,0,-1020.983307,1
NO,NO,NO,0,NO,0.195341155,0.006154127,10,10,NO,NO,NO,NO,NO,NO,NO,100,-1029.833374,0
