,tag_header,tag_para,tag_formatting,word_count,interacting_span_tag,relative_x_coord,relative_y_coord,relative_listings,relative_hyperlinks,tag_img,src_img_interaction,red_flag_class,tag_table,relative_table_elements,height_width_diff,name,attrs
0,NO,NO,NO,0,NO,0.184336019,0.00315121,nan,nan,NO,NO,NO,NO,nan,17.6000061,a,['top']
1,NO,NO,NO,0,NO,0.184336019,0.003707306,nan,nan,NO,NO,NO,NO,nan,-1041.599976,div,"['siteNotice', ['mw-body-content']]"
2,NO,NO,NO,0,NO,1.100513548,0.003707306,nan,nan,NO,NO,NO,NO,nan,-14.8833313,div,"[['mw-indicators', 'mw-body-content']]"
3,NO,NO,NO,0,NO,1.100513548,0.003892671,nan,nan,NO,NO,NO,NO,nan,3.400009155,div,"['mw-indicator-good-star', ['mw-indicator']]"
4,NO,NO,NO,0,NO,1.100513548,0.004040963,nan,nan,NO,NO,NO,NO,nan,-3,a,"['/wiki/Wikipedia:Good_articles', 'This is a good article. Follow the link for more information.']"
5,NO,NO,NO,0,NO,1.100513548,0.00400389,nan,nan,YES,YES,NO,NO,nan,1,img,"['This is a good article. Follow the link for more information.', '//upload.wikimedia.org/wikipedia/en/thumb/9/94/Symbol_support_vote.svg/19px-Symbol_support_vote.svg.png', 'async', '19', '20', '//upload.wikimedia.org/wikipedia/en/thumb/9/94/Symbol_support_vote.svg/29px-Symbol_support_vote.svg.png 1.5x, //upload.wikimedia.org/wikipedia/en/thumb/9/94/Symbol_support_vote.svg/39px-Symbol_support_vote.svg.png 2x', '180', '185']"
6,NO,NO,NO,0,NO,1.12068963,0.003892671,nan,nan,NO,NO,NO,NO,nan,2.400009155,div,"['mw-indicator-pp-default', ['mw-indicator']]"
7,NO,NO,NO,0,NO,1.12068963,0.004040963,nan,nan,NO,NO,NO,NO,nan,-4,a,"['/wiki/Wikipedia:Protection_policy#semi', 'This article is semi-protected due to vandalism']"
8,NO,NO,NO,0,NO,1.12068963,0.00400389,nan,nan,YES,YES,NO,NO,nan,0,img,"['Page semi-protected', '//upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/20px-Semi-protection-shackle.svg.png', 'async', '20', '20', '//upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/30px-Semi-protection-shackle.svg.png 1.5x, //upload.wikimedia.org/wikipedia/en/thumb/1/1b/Semi-protection-shackle.svg/40px-Semi-protection-shackle.svg.png 2x', '512', '512']"
9,YES,NO,NO,3,NO,0.184336019,0.003707306,0,0,NO,NO,NO,NO,0,-1003.366638,h1,"['firstHeading', ['firstHeading'], 'en']"
10,NO,NO,YES,3,NO,0.184336019,0.003781452,0,0,NO,NO,NO,NO,0,-188.0833282,i,[]
